sku,precio_reales
6649.0,"1.939,00"
10114.0,"1.939,00"
15773.0,"2.469,00"
13194.0,"2.239,00"
10322.0,"2.229,00"
15369.0,"2.329,00"
8541.0,"1.269,00"
8555.0,"2.469,00"
8611.0,"1.019,00"
12786.0,"1.839,00"
9988.0,"2.689,00"
3672.0,"2.329,00"
3673.0,"1.939,00"
17198.0,"2.469,00"
6972.0,"1.379,00"
8965.0,"1.679,00"
6902.0,"1.309,00"
4583.0,"2.469,00"
7238.0,"219,00"
4585.0,"1.939,00"
4561.0,"1.939,00"
6916.0,"2.329,00"
3287.0,"2.469,00"
3288.0,"2.329,00"
8415.0,"2.469,00"
7237.0,"1.939,00"
10938.0,"2.469,00"
8540.0,"1.369,00"
6805.0,"569,00"
12731.0,"1.839,00"
7965.0,"1.939,00"
788.0,"2.329,00"
10296.0,"3.219,00"
10240.0,"3.219,00"
15340.0,"1.939,00"
10392.0,"2.469,00"
12604.0,"2.469,00"
2772.0,"2.469,00"
8413.0,"1.939,00"
2929.0,"1.939,00"
12450.0,"2.469,00"
8483.0,"1.129,00"
8471.0,"1.269,00"
10476.0,"439,00"
1374.0,"2.329,00"
1390.0,"2.329,00"
12226.0,"789,00"
8525.0,"1.939,00"
2687.0,"2.469,00"
942.0,"2.329,00"
10882.0,"819,00"
12451.0,"2.329,00"
10940.0,"869,00"
10939.0,"2.329,00"
8205.0,"1.439,00"
12465.0,"2.329,00"
2815.0,"2.469,00"
2839.0,"2.469,00"
9358.0,"1.939,00"
5459.0,"2.469,00"
10030.0,"2.689,00"
3647.0,"2.469,00"
6636.0,"2.329,00"
5457.0,"1.939,00"
7827.0,"2.469,00"
473.0,"1.939,00"
305.0,"1.779,00"
6651.0,"2.469,00"
6248.0,0
9118.0,"2.469,00"
2829.0,"1.099,00"
6002.0,0
9230.0,"2.469,00"
9510.0,"2.469,00"
3035.0,"2.469,00"
5209.0,"749,00"
1310.0,"1.209,00"
6314.0,"2.329,00"
2816.0,"2.469,00"
3311.0,"2.469,00"
9342.0,"2.469,00"
8527.0,"1.269,00"
4559.0,"2.469,00"
4573.0,"1.939,00"
2725.0,"2.469,00"
786.0,"1.939,00"
9300.0,"2.469,00"
12452.0,"959,00"
8414.0,"2.329,00"
9188.0,"2.469,00"
3085.0,"1.939,00"
9930.0,"2.229,00"
9932.0,"2.399,00"
4883.0,"2.469,00"
2810.0,"2.469,00"
2711.0,"2.469,00"
15774.0,"2.329,00"
6720.0,"2.329,00"
4979.0,"2.469,00"
6957.0,"1.939,00"
10518.0,"2.469,00"
13278.0,"1.939,00"
12730.0,"1.749,00"
1302.0,"1.209,00"
4812.0,"2.329,00"
8952.0,"1.939,00"
8966.0,"1.779,00"
12732.0,"1.939,00"
11429.0,"2.329,00"
2999.0,"2.469,00"
10926.0,"869,00"
8980.0,"1.939,00"
8289.0,"2.469,00"
12380.0,"2.469,00"
9330.0,"1.939,00"
6253.0,0
6579.0,"1.139,00"
7519.0,"2.469,00"
7098.0,"2.329,00"
1422.0,"2.329,00"
10113.0,"3.129,00"
10126.0,"2.469,00"
3637.0,"1.939,00"
3373.0,"849,00"
3671.0,"2.469,00"
3623.0,"2.469,00"
3659.0,"2.469,00"
3095.0,"2.469,00"
12550.0,"739,00"
12564.0,"1.939,00"
7658.0,"2.329,00"
3192.0,"459,00"
7041.0,"1.939,00"
7099.0,"2.469,00"
7071.0,"2.469,00"
13304.0,"2.469,00"
4957.0,"1.939,00"
13249.0,"2.459,00"
6901.0,"1.939,00"
10422.0,"1.939,00"
10406.0,"2.469,00"
2975.0,"2.469,00"
12562.0,"2.469,00"
9174.0,"2.469,00"
9175.0,"2.329,00"
9176.0,"1.939,00"
1309.0,"1.309,00"
333.0,"1.939,00"
12506.0,"2.469,00"
3276.0,"959,00"
3275.0,"2.469,00"
12563.0,"2.329,00"
6887.0,"1.939,00"
8469.0,"1.129,00"
11948.0,"1.939,00"
9778.0,"1.939,00"
9316.0,"1.939,00"
14734.0,"1.399,00"
6397.0,"1.939,00"
3937.0,"1.939,00"
4836.0,"2.329,00"
11708.0,"2.469,00"
977.0,"2.329,00"
8359.0,"2.469,00"
7169.0,"2.469,00"
10798.0,"2.469,00"
1342.0,"2.329,00"
1318.0,"2.329,00"
3264.0,"2.329,00"
